number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_class_weight,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,user_attrs_cv_scores,user_attrs_cv_std,state
0,0.5,2026-06-11 11:17:22.664787,2026-06-11 11:17:26.125099,0 days 00:00:03.460312,True,,19,log2,1,2,108,"[0.4, 0.5833333333333334, 0.48333333333333334, 0.55, 0.48333333333333334]",0.0632455532033676,COMPLETE
1,0.48999999999999994,2026-06-11 11:17:26.126112,2026-06-11 11:17:29.455400,0 days 00:00:03.329288,False,,17,log2,3,12,463,"[0.38333333333333336, 0.5666666666666667, 0.45, 0.5666666666666667, 0.48333333333333334]",0.07039570693980957,COMPLETE
2,0.5033333333333333,2026-06-11 11:17:29.455400,2026-06-11 11:17:32.482747,0 days 00:00:03.027347,True,,6,,4,7,196,"[0.43333333333333335, 0.5333333333333333, 0.5333333333333333, 0.5666666666666667, 0.45]",0.052068331172711015,COMPLETE
3,0.4966666666666667,2026-06-11 11:17:32.482747,2026-06-11 11:17:35.663452,0 days 00:00:03.180705,True,,17,sqrt,1,11,443,"[0.38333333333333336, 0.5666666666666667, 0.4666666666666667, 0.55, 0.5166666666666667]",0.06616477747093069,COMPLETE
4,0.49000000000000005,2026-06-11 11:17:35.663452,2026-06-11 11:17:36.822253,0 days 00:00:01.158801,True,,3,,1,15,373,"[0.4166666666666667, 0.5333333333333333, 0.5, 0.5666666666666667, 0.43333333333333335]",0.0573488351136175,COMPLETE
5,0.4966666666666667,2026-06-11 11:17:36.822253,2026-06-11 11:17:37.461170,0 days 00:00:00.638917,False,,30,sqrt,6,12,235,"[0.4166666666666667, 0.55, 0.48333333333333334, 0.6, 0.43333333333333335]",0.06944222218666553,COMPLETE
6,0.4866666666666667,2026-06-11 11:17:37.461698,2026-06-11 11:17:38.768755,0 days 00:00:01.307057,True,balanced,16,,3,2,395,"[0.4166666666666667, 0.5666666666666667, 0.4666666666666667, 0.55, 0.43333333333333335]",0.06091888960832355,COMPLETE
7,0.49000000000000005,2026-06-11 11:17:38.768755,2026-06-11 11:17:40.476063,0 days 00:00:01.707308,True,,29,log2,1,16,700,"[0.38333333333333336, 0.55, 0.48333333333333334, 0.55, 0.48333333333333334]",0.06110100926607787,COMPLETE
8,0.4800000000000001,2026-06-11 11:17:40.477071,2026-06-11 11:17:41.920785,0 days 00:00:01.443714,True,balanced,6,sqrt,10,9,577,"[0.38333333333333336, 0.5166666666666667, 0.5333333333333333, 0.5333333333333333, 0.43333333333333335]",0.06091888960832354,COMPLETE
9,0.4866666666666667,2026-06-11 11:17:41.920785,2026-06-11 11:17:42.663424,0 days 00:00:00.742639,False,,4,log2,3,6,345,"[0.38333333333333336, 0.55, 0.5166666666666667, 0.5166666666666667, 0.4666666666666667]",0.05811865258054232,COMPLETE
10,0.36000000000000004,2026-06-11 11:17:42.664438,2026-06-11 11:17:43.196291,0 days 00:00:00.531853,False,balanced,10,,7,20,109,"[0.26666666666666666, 0.4166666666666667, 0.36666666666666664, 0.4, 0.35]",0.05228129047119375,COMPLETE
