image_name,season,avg_skin_r,avg_skin_g,avg_skin_b,avg_skin_L,avg_skin_a,avg_skin_b_lab,avg_skin_C,avg_skin_H,skin_darkness,cheek_L_diff,cheek_a_diff,cheek_b_diff,cheek_C_diff,cheek_H_diff,forehead_vs_cheeks_L_diff,forehead_vs_cheeks_a_diff,forehead_vs_cheeks_b_diff,forehead_vs_cheeks_C_diff,forehead_vs_cheeks_H_diff,avg_eye_L,avg_eye_a,avg_eye_b_lab,avg_eye_C,avg_eye_H,eye_vs_skin_L_diff,eye_darkness,is_hair_visible,is_hair_natural,natural_hair_color,used_observed_hair,hair_L,hair_a,hair_b_lab,hair_C,hair_H,hair_darkness,skin_eye_L_diff,skin_hair_L_diff,eye_hair_L_diff,normalized_skin_eye_L_contrast,normalized_skin_hair_L_contrast,normalized_eye_hair_L_contrast,overall_contrast_score,skin_eye_C_diff,skin_hair_C_diff,eye_hair_C_diff,skin_eye_C_ratio,skin_hair_C_ratio,eye_hair_C_ratio,overall_chroma_score,skin_eye_H_diff,skin_hair_H_diff,eye_hair_H_diff,skin_eye_a_diff,skin_eye_b_diff,skin_hair_a_diff,skin_hair_b_diff
AUT_0001.png,autumn,199.33,142.33,114.67,63.97,18.21,23.3,29.61,52.06,36.03,6.67,2.66,3.6,4.5,0.47,1.61,2.22,0.46,1.72,2.84,50.04,13.87,19.2,24.17,57.61,13.93,49.96,yes,no,medium_brown,False,,,,,,,13.93,,,0.2178,,,0.2178,5.44,,,1.2251,,,26.89,5.55,,,4.34,4.1,,
AUT_0002.png,autumn,215.33,171.0,154.0,73.39,13.84,15.03,20.82,46.85,26.61,17.87,1.07,1.19,0.66,1.62,6.05,0.36,0.59,0.34,2.56,42.98,7.12,13.73,15.79,63.09,30.41,57.02,yes,no,medium_brown,False,,,,,,,30.41,,,0.4144,,,0.4144,5.03,,,1.3186,,,18.3,16.24,,,6.72,1.3,,
AUT_0003.png,autumn,228.33,193.67,171.67,80.65,9.18,15.64,18.21,59.9,19.35,13.41,3.15,0.43,2.01,7.45,0.17,0.8,0.25,0.23,2.57,59.59,7.62,14.48,16.55,62.76,21.06,40.41,yes,no,medium_brown,False,,,,,,,21.06,,,0.2611,,,0.2611,1.66,,,1.1003,,,17.38,2.86,,,1.56,1.16,,
AUT_0004.png,autumn,240.67,162.33,131.33,73.67,25.71,27.99,38.03,47.58,26.33,11.07,6.54,3.38,6.88,4.01,1.56,1.4,0.18,0.78,1.91,,,,,,,,yes,no,dark_brown,False,,,,,,,,,,,,,,,,,,,,38.03,,,,,,,
AUT_0006.png,autumn,185.0,138.33,119.67,61.59,15.1,16.94,22.78,48.27,38.41,1.8,0.34,0.06,0.22,0.44,7.09,1.42,1.03,0.22,4.34,35.99,9.41,10.63,14.62,50.43,25.6,64.01,yes,no,dark_brown,False,,,,,,,25.6,,,0.4157,,,0.4157,8.16,,,1.5581,,,18.7,2.16,,,5.69,6.31,,
AUT_0010.png,autumn,209.33,172.0,151.33,73.02,10.8,15.82,19.22,55.57,26.98,1.64,0.76,0.75,0.19,2.72,4.83,3.39,1.77,3.39,6.11,25.68,8.19,7.99,11.64,42.84,47.34,74.32,yes,no,dark_brown,False,,,,,,,47.34,,,0.6483,,,0.6483,7.58,,,1.6512,,,15.43,12.73,,,2.61,7.83,,
AUT_0012.png,autumn,214.67,164.33,144.0,71.57,15.75,17.76,23.77,48.32,28.43,2.53,0.59,0.8,1.0,0.07,1.77,1.21,0.64,1.29,1.27,30.63,10.18,11.61,15.53,47.89,40.94,69.37,yes,yes,,True,65.81,13.71,18.08,22.73,52.83,34.19,40.94,5.76,35.18,0.572,0.0805,0.5346,0.3957,8.24,1.04,7.2,1.5306,1.0458,0.6832,20.68,0.43,4.51,4.94,5.57,6.15,2.04,0.32
AUT_0013.png,autumn,200.67,137.0,109.33,62.66,21.14,24.77,32.61,49.34,37.34,18.29,3.95,5.17,6.51,0.78,0.29,3.18,2.79,4.21,1.14,34.66,13.12,7.27,16.8,18.78,28.0,65.34,yes,yes,,True,58.89,20.49,27.32,34.19,52.83,41.11,28.0,3.77,24.23,0.4469,0.0602,0.4114,0.3062,15.81,1.58,17.39,1.9411,0.9538,0.4914,27.87,30.56,3.49,34.05,8.02,17.5,0.65,2.55
AUT_0017.png,autumn,243.0,173.33,140.33,76.67,21.76,27.28,34.99,51.35,23.33,0.62,1.32,4.88,4.66,3.23,4.55,4.62,1.51,4.06,4.43,33.36,12.89,12.74,18.74,40.1,43.31,66.64,yes,no,dark_brown,False,,,,,,,43.31,,,0.5649,,,0.5649,16.25,,,1.8671,,,26.87,11.25,,,8.87,14.54,,
AUT_0019.png,autumn,251.0,192.33,164.0,82.46,17.32,22.57,28.61,53.09,17.54,5.91,9.45,0.87,6.48,14.0,0.27,0.82,0.56,0.24,1.34,,,,,,,,no,yes,dark_brown,False,,,,,,,,,,,,,,,,,,,,28.61,,,,,,,
AUT_0022.png,autumn,245.33,184.33,153.33,79.73,18.26,24.43,30.59,53.38,20.27,0.06,3.43,0.21,2.19,4.66,2.29,0.44,0.77,0.93,0.28,62.12,17.0,24.36,30.02,54.46,17.61,37.88,yes,no,dark_brown,False,,,,,,,17.61,,,0.2209,,,0.2209,0.57,,,1.019,,,30.3,1.08,,,1.26,0.07,,
AUT_0025.png,autumn,71.33,55.67,44.33,24.79,5.03,9.93,11.15,63.47,75.21,7.23,3.12,3.35,4.39,6.26,2.15,1.18,2.88,3.11,2.07,15.0,4.74,8.64,9.88,61.42,9.79,85.0,yes,no,dark_brown,False,,,,,,,9.79,,,0.3949,,,0.3949,1.27,,,1.1285,,,10.52,2.05,,,0.29,1.29,,
AUT_0026.png,autumn,246.67,168.67,144.0,76.06,25.94,24.36,35.65,43.28,23.94,0.7,0.52,2.92,1.52,4.08,0.26,2.56,0.12,1.97,3.09,54.03,24.61,23.21,33.87,43.09,22.03,45.97,yes,yes,,True,76.69,21.68,25.96,33.86,50.33,23.31,22.03,0.63,22.66,0.2896,0.0082,0.2955,0.1978,1.78,1.79,0.01,1.0526,1.0529,1.0003,34.46,0.19,7.05,7.24,1.33,1.15,4.26,1.6
AUT_0027.png,autumn,243.67,171.0,144.0,76.31,23.4,24.79,34.17,47.04,23.69,5.61,3.75,3.98,5.49,0.26,2.55,7.11,2.38,6.54,6.4,57.51,15.64,16.12,22.68,47.15,18.8,42.49,yes,no,dark_brown,False,,,,,,,18.8,,,0.2464,,,0.2464,11.49,,,1.5066,,,28.43,0.11,,,7.76,8.67,,
AUT_0028.png,autumn,236.67,165.0,130.0,73.89,22.57,29.02,36.83,52.39,26.11,0.11,0.3,1.92,1.29,2.11,4.04,5.91,2.37,5.45,5.3,49.67,15.83,17.95,24.09,48.63,24.22,50.33,yes,yes,,True,64.82,14.98,22.86,27.38,56.62,35.18,24.22,9.07,15.15,0.3278,0.1228,0.2337,0.2281,12.74,9.45,3.29,1.5289,1.3451,0.8798,29.43,3.76,4.23,7.99,6.74,11.07,7.59,6.16
AUT_0030.png,autumn,246.0,169.0,144.0,76.05,25.37,24.61,35.37,44.28,23.95,3.84,4.49,3.47,5.63,1.05,2.72,2.21,1.23,2.43,1.15,48.63,16.93,14.97,22.8,42.23,27.42,51.37,yes,yes,dark_brown,True,78.35,23.11,25.91,34.75,48.15,21.65,27.42,2.3,29.72,0.3606,0.0294,0.3793,0.2564,12.57,0.62,11.95,1.5513,1.0178,0.6561,30.97,2.05,3.87,5.92,8.44,9.64,2.26,1.3
AUT_0031.png,autumn,238.0,156.33,139.67,72.13,28.62,21.35,35.74,36.86,27.87,2.69,1.47,0.34,1.0,1.75,1.97,3.87,0.68,3.5,2.85,48.75,21.77,15.42,26.77,35.54,23.38,51.25,yes,yes,,True,70.45,28.57,23.86,37.26,40.01,29.55,23.38,1.68,21.7,0.3241,0.0233,0.308,0.2185,8.97,1.52,10.49,1.3351,0.9592,0.7185,33.26,1.32,3.15,4.47,6.85,5.93,0.05,2.51
AUT_0032.png,autumn,216.0,136.0,106.67,64.42,27.53,28.68,39.81,46.12,35.58,5.82,1.54,2.55,0.87,3.94,0.3,2.04,2.84,3.55,0.66,59.84,23.16,24.0,33.36,46.02,4.58,40.16,no,yes,light_brown,False,,,,,,,4.58,,,0.0711,,,0.0711,6.45,,,1.1933,,,36.59,0.1,,,4.37,4.68,,
AUT_0033.png,autumn,247.0,180.0,143.0,78.66,19.97,28.61,34.94,55.31,21.34,2.63,2.98,0.78,2.37,3.19,1.91,3.18,2.41,3.76,2.16,59.22,18.09,19.45,26.68,47.84,19.44,40.78,yes,yes,,True,74.27,22.53,32.94,39.92,55.6,25.73,19.44,4.39,15.05,0.2471,0.0558,0.2026,0.1685,8.26,4.98,13.24,1.3096,0.8753,0.6683,33.85,7.47,0.29,7.76,1.88,9.16,2.56,4.33
AUT_0034.png,autumn,242.67,172.0,160.0,76.76,24.34,16.67,29.57,34.46,23.24,6.54,4.21,1.35,4.28,2.21,0.82,0.59,3.81,1.76,6.84,,,,,,,,no,yes,medium_brown,False,,,,,,,,,,,,,,,,,,,,29.57,,,,,,,
AUT_0035.png,autumn,223.0,137.67,105.0,65.58,29.39,31.07,42.83,46.52,34.42,4.58,1.31,1.73,2.13,0.34,0.39,2.55,2.84,3.77,0.2,56.62,25.43,26.5,36.78,45.9,8.96,43.38,no,yes,dark_brown,False,,,,,,,8.96,,,0.1366,,,0.1366,6.05,,,1.1645,,,39.8,0.62,,,3.96,4.57,,
AUT_0036.png,autumn,242.0,184.67,173.67,79.82,19.46,13.54,23.81,34.06,20.18,1.33,0.06,0.89,0.59,1.81,0.28,1.34,2.89,2.72,4.7,51.47,22.0,15.35,26.97,34.79,28.35,48.53,yes,yes,,True,82.29,15.48,12.86,20.33,38.16,17.71,28.35,2.47,30.82,0.3552,0.03,0.3745,0.2532,3.16,3.48,6.64,0.8828,1.1712,1.3266,23.7,0.73,4.1,3.37,2.54,1.81,3.98,0.68
AUT_0037.png,autumn,245.67,185.0,160.0,79.98,18.86,21.27,28.57,48.59,20.02,4.09,2.36,2.3,3.29,0.05,1.55,4.7,1.04,2.25,9.18,60.8,17.94,20.27,27.16,49.09,19.18,39.2,no,yes,medium_brown,False,,,,,,,19.18,,,0.2398,,,0.2398,1.41,,,1.0519,,,27.87,0.5,,,0.92,1.0,,
AUT_0038.png,autumn,222.0,156.67,133.0,70.28,21.61,22.1,30.95,45.44,29.72,2.44,0.35,2.58,1.63,3.62,1.23,1.68,4.74,4.51,4.18,54.97,22.81,23.7,32.97,45.81,15.31,45.03,yes,yes,,True,53.83,21.49,20.93,30.05,43.86,46.17,15.31,16.45,1.14,0.2178,0.2341,0.0207,0.1575,2.02,0.9,2.92,0.9387,1.03,1.0972,31.32,0.37,1.58,1.95,1.2,1.6,0.12,1.17
AUT_0039.png,autumn,209.0,153.0,124.0,67.75,17.59,23.72,29.75,54.0,32.25,8.57,7.86,0.08,4.32,13.59,22.33,5.98,2.43,5.45,6.8,64.19,19.0,23.45,30.44,50.7,3.56,35.81,yes,yes,,True,55.6,19.68,23.87,31.19,49.82,44.4,3.56,12.15,8.59,0.0525,0.1793,0.1338,0.1219,0.69,1.44,0.75,0.9773,0.9538,0.976,30.46,3.3,4.18,0.88,1.41,0.27,2.09,0.15
AUT_0040.png,autumn,240.67,147.33,127.33,70.34,32.78,25.73,41.69,38.14,29.66,3.35,1.52,0.92,1.77,0.26,2.97,2.57,0.99,2.63,1.14,47.87,18.13,13.96,23.0,39.14,22.47,52.13,yes,yes,,True,73.07,30.61,25.94,40.14,40.24,26.93,22.47,2.73,25.2,0.3194,0.0374,0.3449,0.2339,18.69,1.55,17.14,1.8126,1.0386,0.573,34.94,1.0,2.1,1.1,14.65,11.77,2.17,0.21
AUT_0041.png,autumn,241.0,164.67,136.67,74.28,25.16,25.92,36.17,45.94,25.72,4.74,1.67,0.82,1.71,1.34,3.04,0.7,2.11,2.02,1.83,56.06,18.23,16.77,24.83,42.59,18.22,43.94,yes,yes,,True,78.1,22.3,24.9,33.46,48.12,21.9,18.22,3.82,22.04,0.2453,0.0489,0.2822,0.1921,11.34,2.71,8.63,1.4567,1.081,0.7421,31.49,3.35,2.18,5.53,6.93,9.15,2.86,1.02
